city_ID,city,lat,lng,country,beach_name,beach_address,beach_rating
362,Chalatenango,14.0333,-88.9333,El Salvador,El Peñón de Comasagua,"HJVF+XJQ, Carretera a la Shila, Cantón El Faro, Comasagua",4.8
363,Sensuntepeque,13.8667,-88.6333,El Salvador,Lago de Ilopango,"MWCR+9VX, Ilopango",3.0
364,Sonzacate,13.7342,-89.7147,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
365,Juayúa,13.8436,-89.74600000000001,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
366,San Francisco,13.7,-88.1,El Salvador,Violin Beach,"87FP+5VP Isla Violin, San CARLOS",4.5
367,Guaymango,13.75,-89.8333,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
368,Puerto El Triunfo,13.2833,-88.55,El Salvador,Recreational Park Costa del Sol,"82JC+MHM, Blvd. Costa del Sol, San Luis la Herradura",4.0
369,Santiago de María,13.4833,-88.4667,El Salvador,Estero Jaltepeque,"8429+QPP, El Zapote",4.6
370,Concepción de Ataco,13.8667,-89.85,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
371,San Alejo,13.4333,-87.9667,El Salvador,Torola Beach,"526Q+HXX, Unnamed Road, Playas Negras",5.0
372,Metapán,14.3333,-89.45,El Salvador,Parque Recreativo Sihuatehuacán,"XFR4+RVQ, Calle Libertad Oriente, Santa Ana",4.2
373,Anamorós,13.7333,-87.8667,El Salvador,Isla San Carlos Beach,Isla San Carlos,5.0
374,El Paisnal,13.9667,-89.2167,El Salvador,Rancho Golden Beach,"G9G5+F7, Las Piedronas",5.0
375,Tepecoyo,13.7003,-89.4678,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
376,Cuisnahuat,13.6333,-89.6,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
377,Teotepeque,13.5853,-89.5183,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
378,Jocoro,13.6167,-88.0167,El Salvador,Isla San Carlos Beach,Isla San Carlos,5.0
379,Caluco,13.7167,-89.6667,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
380,Estanzuelas,13.65,-88.5,El Salvador,Estero Jaltepeque,"8429+QPP, El Zapote",4.6
381,Nueva Guadalupe,13.5333,-88.35,El Salvador,Torola Beach,"526Q+HXX, Unnamed Road, Playas Negras",5.0
382,Agua Caliente,14.1667,-89.2167,El Salvador,Termos del Río,San Salvador,4.3
383,El Porvenir,14.0207,-89.6471,El Salvador,RANCHO BRISA DEL MAR BEACH,"J4M4+H9X, Metallo",5.0
384,Helsinki,60.1756,24.9342,Finland,Pilvijärvi Beach,"Pilvijärventie 70, Sipoo",4.4
385,Espoo,60.21,24.66,Finland,beach,Fagervik,0.0
386,Tampere,61.4981,23.76,Finland,Eräpyhä Beach,Orivesi,4.5
387,Vantaa,60.3,25.0333,Finland,Pilvijärvi Beach,"Pilvijärventie 70, Sipoo",4.4
388,Oulu,65.0142,25.4719,Finland,Nallikari Lighthouse,Oulu,4.4
389,Turku,60.4517,22.27,Finland,Ispoinen Beach,"Rykmentintie 51, Turku",4.3
390,Jyväskylä,62.2333,25.7333,Finland,,,
391,Kuopio,62.8925,27.6783,Finland,Suomen eläimet AR-kierros (Puijo),"Puijontie 135, Kuopio",0.0
392,Lahti,60.9804,25.655,Finland,Kalmarinranta,"Kalmarinpolku 3, Asikkala",4.5
393,Kouvola,60.8681,26.7042,Finland,Äijänniemi Beach,Kotka,4.4
394,Pori,61.4847,21.7972,Finland,Selkämeri National Park (Pori),"Huhtalanraitti 241, Pori",4.2
395,Joensuu,62.6,29.7639,Finland,,,
396,Lappeenranta,61.0583,28.1861,Finland,Lappeenranta Fortress,"Kristiinankatu 3-5, Lappeenranta",4.4
397,Hämeenlinna,61.0,24.4414,Finland,Torronsuo National Park,Tammela,4.4
398,Vaasa,63.1,21.6167,Finland,Hiekkarannat Storsand,Nykarleby,4.4
399,Rovaniemi,66.5028,25.7285,Finland,Arktikum Arboretum,Rovaniemi,4.5
400,Seinäjoki,62.7903,22.8403,Finland,Pruukinranta Beach,"Kyrkösjärventie 9, Seinäjoki",4.1
401,Mikkeli,61.6875,27.2736,Finland,Czar Spring,"Kylmäläntie 60, Mäntyharju",4.4
402,Kotka,60.4667,26.9458,Finland,Äijänniemi Beach,Kotka,4.4
403,Salo,60.3831,23.1331,Finland,beach,Fagervik,0.0
404,Porvoo,60.3931,25.6639,Finland,Pilvijärvi Beach,"Pilvijärventie 70, Sipoo",4.4
405,Kokkola,63.8376,23.131999999999998,Finland,Beach,Kokkola,4.8
406,Lohja,60.25,24.0667,Finland,beach,Fagervik,0.0
407,Hyvinkää,60.6306,24.8597,Finland,Pilvijärvi Beach,"Pilvijärventie 70, Sipoo",4.4
408,Nurmijärvi,60.4667,24.8083,Finland,Pilvijärvi Beach,"Pilvijärventie 70, Sipoo",4.4
409,Järvenpää,60.4722,25.0889,Finland,Pilvijärvi Beach,"Pilvijärventie 70, Sipoo",4.4
410,Rauma,61.1167,21.5,Finland,Selkämeri National Park (Pori),"Huhtalanraitti 241, Pori",4.2
411,Kirkkonummi,60.1167,24.4167,Finland,beach,Fagervik,0.0
412,Tuusula,60.4028,25.0292,Finland,Pilvijärvi Beach,"Pilvijärventie 70, Sipoo",4.4
413,Kajaani,64.225,27.7333,Finland,Vuokatti Hill,Sotkamo,4.6
414,Savonlinna,61.8667,28.8831,Finland,Karjalankallio,"Puistometsäntie 284, Savonlinna",4.7
415,Kerava,60.4028,25.1,Finland,Pilvijärvi Beach,"Pilvijärventie 70, Sipoo",4.4
416,Nokia,61.4767,23.5053,Finland,Viikinsaaris Beach,Tampere,4.1
417,Ylöjärvi,61.55,23.5833,Finland,Eräpyhä Beach,Orivesi,4.5
418,Kaarina,60.4069,22.3722,Finland,Ispoinen Beach,"Rykmentintie 51, Turku",4.3
419,Kangasala,61.4639,24.065,Finland,Eräpyhä Beach,Orivesi,4.5
420,Jyväskylän Maalaiskunta,62.2889,25.7417,Finland,,,
421,Riihimäki,60.7333,24.7667,Finland,Pilvijärvi Beach,"Pilvijärventie 70, Sipoo",4.4
422,Vihti,60.4167,24.3331,Finland,beach,Fagervik,0.0
423,Raseborg,59.975,23.4361,Finland,beach,Fagervik,0.0
424,Imatra,61.1931,28.7764,Finland,Lappeenranta Fortress,"Kristiinankatu 3-5, Lappeenranta",4.4
425,Sastamala,61.3417,22.9083,Finland,Viikinsaaris Beach,Tampere,4.1
426,Raahe,64.6847,24.4792,Finland,Nallikari Lighthouse,Oulu,4.4
427,Raisio,60.4861,22.1694,Finland,Ispoinen Beach,"Rykmentintie 51, Turku",4.3
428,Hollola,60.9886,25.5128,Finland,Kalmarinranta,"Kalmarinpolku 3, Asikkala",4.5
429,Lempäälä,61.3139,23.7528,Finland,Eräpyhä Beach,Orivesi,4.5
430,Iisalmi,63.5611,27.1889,Finland,,,
431,Tornio,65.8497,24.1441,Finland,,,
432,Siilinjärvi,63.075,27.66,Finland,Suomen eläimet AR-kierros (Puijo),"Puijontie 135, Kuopio",0.0
433,Kemi,65.7336,24.5634,Finland,,,
434,Paris,48.8566,2.3522,France,La Plage des Pirates,"Disneyland Paris, Parc, Adventureland, Chessy",4.5
435,Marseille,43.2964,5.37,France,Yuka beach,Bandol,0.0
436,Lyon,45.76,4.84,France,Aire De Jeu Des Castors,"Aire de jeux du castor, Neyron",4.3
437,Toulouse,43.6045,1.444,France,,,
438,Nice,43.7034,7.2663,France,Bay of Antibes Billionaires,"2 Chem. des Douaniers, Antibes",4.6
439,Nantes,47.2181,-1.5528,France,Plage de Gohaud,Saint-Michel-Chef-Chef,4.6
440,Montpellier,43.6119,3.8772,France,POINT ZERO,"705 All. de la Plage, La Grande-Motte",4.2
441,Strasbourg,48.5833,7.7458,France,Obertorturm,"Obertorturm, Gengenbach",4.5
442,Bordeaux,44.84,-0.58,France,Beach Mauret,"1 All. du Golf, Andernos-les-Bains",4.4
443,Lille,50.6278,3.0583,France,Budabeach,"IJzerkaai, Kortrijk",4.4
444,Rennes,48.1147,-1.6794,France,,,
445,Reims,49.2628,4.0347,France,,,
446,Toulon,43.1258,5.9306,France,Yuka beach,Bandol,0.0
447,Saint-Étienne,45.4347,4.3903,France,Aire De Jeu Des Castors,"Aire de jeux du castor, Neyron",4.3
448,Le Havre,49.49,0.1,France,Villerville Beach,"1 Rue des Bains, Villerville",4.3
449,Grenoble,45.1715,5.7224,France,Plage des Cordeliers,Pierre-Châtel,4.3
450,Dijon,47.3167,5.0167,France,,,
451,Angers,47.4736,-0.5542,France,Swimming Villevêque,"Rue du Port, Rives-du-Loir-en-Anjou",4.2
452,Villeurbanne,45.7667,4.8803,France,Aire De Jeu Des Castors,"Aire de jeux du castor, Neyron",4.3
453,Nîmes,43.838,4.361000000000001,France,POINT ZERO,"705 All. de la Plage, La Grande-Motte",4.2
454,Clermont-Ferrand,45.7831,3.0824,France,Picknick beach,"4X64+CG, Servant",0.0
455,Le Mans,48.0077,0.1984,France,Sillé Plage,Sillé plage,4.3
456,Aix-en-Provence,43.5263,5.4454,France,Yuka beach,Bandol,0.0
457,Brest,48.39,-4.49,France,Plage Du Penquer,Carantec,4.2
458,Tours,47.3936,0.6892,France,Étang Du Val Joyeux Beach,"564 Le Pont d'Aune, Château-la-Vallière",4.2
459,Amiens,49.891999999999996,2.299,France,Plage Le Crotoy,"420 Prom. Jules Noiret, Le Crotoy",4.2
460,Limoges,45.8353,1.2625,France,Lake Vassivière Beach,Peyrat-le-Château,4.4
461,Annecy,45.916000000000004,6.132999999999999,France,Plage,"Rte Suisse 40, Mies",4.4
462,Boulogne-Billancourt,48.8352,2.2409,France,La Plage des Pirates,"Disneyland Paris, Parc, Adventureland, Chessy",4.5
463,Perpignan,42.6986,2.8956,France,Plage du Grand Large,"56 Prom. de la Côte Vermeille, Canet-en-Roussillon",4.6
464,Besançon,47.24,6.02,France,Plage de Chaon,"46°49'50. 6°19'58, 2 Rue du Lac, Montperreux",4.3
465,Metz,49.1203,6.1778,France,Remich,Remich,4.3
466,Orléans,47.9025,1.909,France,Base de loisirs de l'Île Charlemagne,"Levée de la Chevauchée, Saint-Jean-le-Blanc",4.2
467,Saint-Denis,48.9356,2.3539,France,La Plage des Pirates,"Disneyland Paris, Parc, Adventureland, Chessy",4.5
468,Rouen,49.4428,1.0886,France,Plage de Saint-Valery-en-Caux,"Rue de Bohême, Saint-Valery-en-Caux",4.3
469,Argenteuil,48.95,2.25,France,La Plage des Pirates,"Disneyland Paris, Parc, Adventureland, Chessy",4.5
470,Montreuil,48.8611,2.4436,France,La Plage des Pirates,"Disneyland Paris, Parc, Adventureland, Chessy",4.5
471,Mulhouse,47.75,7.34,France,Beach Saint-Ursanne Clos du Doubs,"Rte des Rangiers 57, Saint-Ursanne",4.8
472,Caen,49.18,-0.37,France,Villerville Beach,"1 Rue des Bains, Villerville",4.3
473,Nancy,48.6936,6.1846,France,La bataille de Dornot,"2 Grand Rue, Ancy-Dornot",4.0
474,Roubaix,50.6901,3.1817,France,Beach Sint André,Koksijde,4.5
475,Tourcoing,50.7239,3.1612,France,Beach Sint André,Koksijde,4.5
476,Nanterre,48.8988,2.1969,France,La Plage des Pirates,"Disneyland Paris, Parc, Adventureland, Chessy",4.5
477,Vitry-sur-Seine,48.7875,2.3928,France,La Plage des Pirates,"Disneyland Paris, Parc, Adventureland, Chessy",4.5
478,Créteil,48.7911,2.4628,France,La Plage des Pirates,"Disneyland Paris, Parc, Adventureland, Chessy",4.5
479,Avignon,43.95,4.8075,France,La Romaniquette,"Plage De La Romaniquette, Route de St Chamas, Istres",4.2
480,Poitiers,46.58,0.34,France,,,
481,Aubervilliers,48.9131,2.3831,France,La Plage des Pirates,"Disneyland Paris, Parc, Adventureland, Chessy",4.5
482,Dunkerque,51.0383,2.3775,France,Petit-Fort-Philippe Beach,"Digue de Mer, Gravelines",4.3
483,Aulnay-sous-Bois,48.9386,2.4906,France,La Plage des Pirates,"Disneyland Paris, Parc, Adventureland, Chessy",4.5
484,Berlin,52.5167,13.3833,Germany,Monbijoupark,"Oranienburger Str., Berlin",4.4
485,Hamburg,53.55,10.0,Germany,Chicken Beach n.e.V.,"Osterstraße 48, Hamburg",5.0
486,Munich,48.1375,11.575,Germany,Pappinho Beach,"Pappenheimstraße 5, München",5.0
487,Cologne,50.9422,6.9578,Germany,Blackfoot Beach,"Stallagsbergweg 1, Köln",4.3
488,Frankfurt,50.1136,8.6797,Germany,Badebucht,"Mainstraße 2, Kleinwallstadt",4.0
489,Düsseldorf,51.2311,6.7724,Germany,Blackfoot Beach,"Stallagsbergweg 1, Köln",4.3
490,Stuttgart,48.7761,9.1775,Germany,Neckarstrand,Remseck,4.4
491,Leipzig,51.3333,12.3833,Germany,Großer Teich Torgau,Torgau,4.4
492,Dortmund,51.5139,7.4653,Germany,Seepark Lünen,"Preußenstraße 57, Lünen",4.3
493,Essen,51.4508,7.0131,Germany,Blackfoot Beach,"Stallagsbergweg 1, Köln",4.3
494,Bremen,53.0769,8.8089,Germany,Kaiser Wilhelm Bridge,"Zur Kaiser-Wilhelm-Brücke, Wilhelmshaven",4.7
495,Dresden,51.05,13.74,Germany,Brühl's Garden,"Brühlscher Garten 1, Dresden",4.3
496,Hannover,52.3744,9.7386,Germany,Badeinsel Steinhude,"Lindenhopsweg 1, Wunstorf",4.4
497,Nuremberg,49.4539,11.0775,Germany,Gedenkstein zum Dorfjubiläum,Etzelwang,0.0
498,Duisburg,51.4322,6.7611,Germany,Blackfoot Beach,"Stallagsbergweg 1, Köln",4.3
499,Bochum,51.4833,7.2167,Germany,WESEL BEACH,Wesel,4.6
500,Wuppertal,51.2667,7.1833,Germany,Blackfoot Beach,"Stallagsbergweg 1, Köln",4.3
501,Bielefeld,52.0167,8.5333,Germany,Aussichtsturm Steinzeichen,"Arensburger Str. 4, Rinteln",4.3
502,Bonn,50.7339,7.0997,Germany,Blackfoot Beach,"Stallagsbergweg 1, Köln",4.3
503,Münster,51.9625,7.6256,Germany,Beach Event Platz,Greven,2.5
504,Mannheim,49.4878,8.4661,Germany,Strandbad Oppenheim,Oppenheim,4.4
505,Karlsruhe,49.0167,8.4,Germany,Schwarzenbach Dam,Forbach,4.5
506,Augsburg,48.3717,10.8983,Germany,Pappinho Beach,"Pappenheimstraße 5, München",5.0
507,Wiesbaden,50.0825,8.24,Germany,Strandbad Oppenheim,Oppenheim,4.4
508,Mönchengladbach,51.2,6.4333,Germany,Blackfoot Beach,"Stallagsbergweg 1, Köln",4.3
509,Gelsenkirchen,51.5167,7.1,Germany,WESEL BEACH,Wesel,4.6
510,Aachen,50.7762,6.0838,Germany,Dagstrand Thorn,"Waterstraat, Thorn",4.1
511,Braunschweig,52.2692,10.5211,Germany,Heidbergsee,"Heidbergstieg, Braunschweig",4.4
512,Kiel,54.3233,10.1394,Germany,Laboe-Strand,"Strandstraße, Laboe",4.6
513,Chemnitz,50.8333,12.9167,Germany,,,
514,Halle,51.4828,11.9697,Germany,Fahrzeugmuseum Staßfurt,"Berlepschstraße 14, Staßfurt",4.6
515,Magdeburg,52.1317,11.6392,Germany,Elbauenpark,"Tessenowstraße 7, Magdeburg",4.5
