city_ID,city,lat,lng,country,airport_name,airport_address,airport_rating
1224,Marbella,36.5167,-4.8833,Spain,Gibraltar International Airport,British Lines Road,4.3
1225,Salamanca,40.9667,-5.6639,Spain,Salamanca Airport,"Ctra. Madrid, Km. 14, Matacán",4.0
1226,Huelva,37.25,-6.95,Spain,,,
1227,Lleida,41.6167,0.6333,Spain,Lleida–Alguaire Airport,"Carretera de l'Aeroport, s/n, Alguaire",3.9
1228,Dos Hermanas,37.2836,-5.9222,Spain,Seville Airport,"A-4, Km. 532, Sevilla",3.7
1229,Tarragona,41.1187,1.2453,Spain,Reus Airport,"Av. de Tarragona, s / n, Reus",3.9
1230,Torrejón de Ardoz,40.4614,-3.4978,Spain,Adolfo Suárez Madrid–Barajas Airport,"Av de la Hispanidad, s/n, Madrid",4.0
1231,Parla,40.2372,-3.7742,Spain,Adolfo Suárez Madrid–Barajas Airport,"Av de la Hispanidad, s/n, Madrid",4.0
1232,Stockholm,59.3294,18.0686,Sweden,Stockholm Arlanda Airport,Stockholm-Arlanda,3.8
1233,Gothenburg,57.6717,11.981,Sweden,Gothenburg-Landvetter Airport,Landvetter,4.2
1234,Malmö,55.5833,13.0333,Sweden,Copenhagen Airport,"Lufthavnsboulevarden 6, Kastrup",4.1
1235,Uppsala,59.8498,17.6389,Sweden,Stockholm Arlanda Airport,Stockholm-Arlanda,3.8
1236,Uppsala,59.8601,17.64,Sweden,Stockholm Arlanda Airport,Stockholm-Arlanda,3.8
1237,Västerås,59.6173,16.5422,Sweden,Eskilstuna flygplats,"Ö, Eskilstuna",4.8
1238,Örebro,59.2669,15.1965,Sweden,Örebro Läns Flygplats AB,"FLYGFÄLTSVÄGEN 8, Örebro",4.3
1239,Linköping,58.4094,15.6257,Sweden,Linköping City Airport,"Åkerbogatan 20, Linköping",4.3
1240,Helsingborg,56.0424,12.720999999999998,Sweden,Copenhagen Airport,"Lufthavnsboulevarden 6, Kastrup",4.1
